subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
29,1,5,3,5,19,2,4,7,3,5,5,7,7,4,7,7,3,1,7,7,5,7,6,7,6,4,7,5,5,6,7,7,6,6,6,4,7,3,7,6,6,5,6,7,7,7,5,4,2,4,6,7
30,2,3,2,5,18,1,6,4,7,7,6,2,4,5,4,4,2,5,4,3,6,5,6,3,5,5,7,6,6,5,6,6,6,4,5,3,5,3,5,4,6,3,5,6,4,7,5,4,4,6,4,4
31,2,9,9,9,18,2,2,7,4,1,2,7,7,5,7,7,5,1,6,5,4,7,7,4,7,5,7,5,4,5,7,6,7,6,5,5,7,6,7,7,7,6,7,7,7,7,5,4,6,6,5,4
32,2,3,2,3,20,2,5,3,6,5,5,5,4,4,4,4,5,4,3,3,5,4,6,7,5,4,7,4,5,5,7,6,7,4,6,5,5,3,5,6,6,5,5,6,7,7,7,2,4,6,4,2
33,2,9,8,9,21,1,1,7,4,1,4,6,7,6,7,7,7,7,7,7,7,7,6,4,7,7,7,4,7,7,7,4,4,7,5,3,7,5,7,7,7,7,7,7,5,7,4,4,1,2,5,4
34,1,5,5,5,22,1,5,7,5,6,6,6,2,6,5,5,2,6,4,5,6,7,5,4,4,5,7,6,5,5,5,6,6,5,6,5,6,5,6,4,4,6,5,6,6,7,5,4,5,6,5,6
35,2,6,7,6,18,2,7,3,4,1,5,7,2,4,7,7,4,2,7,7,1,7,5,7,7,4,7,3,4,6,7,7,7,6,4,3,7,6,6,7,6,5,7,2,4,6,5,5,5,5,7,6
36,2,5,5,5,18,2,4,6,5,4,6,6,6,6,6,7,2,3,4,5,5,6,6,6,6,4,7,4,6,7,7,6,6,4,5,5,6,4,7,5,5,6,7,7,6,7,5,5,6,6,5,6
37,2,1,1,1,18,2,3,4,6,1,4,5,5,4,7,7,5,7,6,6,4,6,6,7,7,4,7,4,7,7,7,7,5,2,5,4,7,5,7,7,7,7,7,5,4,7,7,4,4,3,5,5
38,1,8,3,6,19,2,6,7,5,1,6,5,6,7,7,5,5,7,5,7,7,7,7,7,6,7,7,4,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,5,7,1,6,6,2
