subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
120,1,7,6,6,19,1,5,7,2,2,4,6,4,7,6,5,7,7,7,7,4,7,6,5,5,5,6,4,6,6,4,3,2,6,3,3,6,6,6,6,5,6,6,3,3,5,6,5,2,2,7,5
121,1,9,9,9,18,1,1,6,3,5,5,7,7,6,7,7,7,7,7,7,7,7,7,2,7,7,7,2,7,6,7,3,7,7,6,6,7,7,7,7,7,7,7,2,2,5,5,7,1,1,7,3
122,2,3,6,5,20,1,1,7,7,5,7,5,7,6,7,2,1,5,6,6,4,5,5,2,6,3,7,4,6,6,7,7,6,5,5,6,7,7,6,6,4,6,6,7,3,6,6,4,5,5,6,3
123,2,2,1,2,18,2,5,6,6,7,5,5,5,3,7,5,1,2,5,4,5,6,5,5,5,5,6,3,4,7,7,6,6,6,4,3,5,5,4,4,6,4,7,6,6,5,5,5,4,5,3,3
124,1,8,6,7,18,2,7,4,6,3,5,5,4,4,7,6,2,4,5,5,5,6,5,6,6,2,6,6,6,6,6,7,6,3,7,6,6,5,6,5,6,5,7,5,5,6,3,5,3,4,6,4
125,2,6,6,6,21,1,3,4,5,3,7,5,6,6,7,7,6,7,4,5,6,7,5,7,5,1,7,5,6,7,7,7,5,3,6,7,6,3,7,7,7,7,7,7,6,7,5,4,3,4,7,1
126,2,6,5,6,18,2,4,7,4,6,5,5,5,7,6,4,5,5,5,5,5,6,7,6,4,5,7,5,7,7,7,5,7,5,5,5,6,6,7,5,7,6,5,5,5,7,5,4,3,4,5,7
127,2,9,9,9,21,2,1,2,5,6,4,7,7,5,7,7,5,1,4,7,7,7,5,7,7,3,7,4,7,6,7,7,7,6,6,6,7,5,6,4,2,3,7,2,3,7,7,5,5,4,7,6
128,1,1,1,1,18,2,7,7,7,7,7,1,1,3,3,1,1,3,3,1,5,7,2,7,4,1,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,4,7,7,7,7,7,3,1,7,7,7
129,2,9,9,9,20,1,1,5,4,1,1,7,7,5,7,7,7,7,7,7,4,7,7,7,7,4,7,4,7,7,2,6,4,7,6,3,7,6,7,7,4,7,7,3,3,2,5,5,4,3,7,5
130,2,5,5,5,20,2,7,5,7,4,7,7,5,1,7,5,4,4,1,7,2,7,5,4,5,4,4,2,4,6,7,5,7,3,6,2,4,6,4,7,7,5,7,7,4,7,6,3,2,3,6,4
131,2,7,7,7,19,2,1,6,7,3,4,6,7,5,7,7,4,7,7,6,6,7,7,7,6,4,7,4,6,7,5,7,5,5,5,6,6,7,6,4,6,4,7,1,6,7,7,5,7,5,7,5
132,1,5,3,5,18,2,7,3,7,5,7,7,3,4,7,7,1,7,1,4,4,6,5,4,7,7,7,1,5,7,7,7,7,4,4,1,7,7,7,7,7,7,7,7,7,7,4,4,1,4,4,1
133,1,4,3,5,21,2,7,7,6,1,7,6,1,7,7,7,2,7,7,7,6,7,6,7,5,5,6,4,7,7,4,7,7,4,7,4,7,7,1,4,6,6,7,7,7,7,6,5,2,7,7,6
134,1,4,2,4,18,2,7,7,6,2,7,6,7,4,6,5,6,2,5,4,1,7,6,2,5,5,5,2,3,2,6,2,4,3,4,2,6,6,2,6,6,2,7,3,7,7,6,5,1,1,5,4
135,1,3,3,4,20,2,3,6,5,5,4,5,6,5,7,7,3,6,7,6,7,6,6,4,6,5,7,5,4,6,6,5,6,5,6,5,6,5,6,6,7,5,7,4,5,7,5,4,5,6,5,5
136,1,5,5,6,18,2,5,4,4,2,6,5,3,7,7,7,2,7,7,7,5,7,6,5,5,2,7,4,4,7,6,5,7,5,7,5,6,5,7,6,7,5,7,7,5,7,6,3,3,4,7,4
137,2,7,5,5,19,2,1,4,2,3,6,7,7,6,6,6,3,5,6,6,4,7,6,5,5,5,6,4,5,6,7,7,6,4,6,4,5,4,7,6,5,3,7,4,7,7,5,5,5,4,5,2
138,2,5,6,6,19,2,2,5,4,3,2,6,7,4,7,7,5,7,7,7,3,4,6,5,5,2,7,4,5,7,7,7,7,6,4,2,6,7,7,7,4,6,7,1,4,6,5,6,4,3,6,5
139,2,1,1,2,24,2,7,4,4,4,6,4,1,4,4,3,4,1,2,4,4,3,5,6,1,4,3,5,3,5,7,7,6,5,6,3,2,4,3,3,4,3,7,7,5,7,6,3,4,4,3,4
140,2,3,2,4,18,2,7,6,6,3,4,3,3,3,4,5,3,2,3,3,4,4,5,7,4,3,7,3,5,6,6,2,7,4,4,3,6,5,6,6,6,3,6,6,5,6,5,6,1,6,4,2
141,2,2,1,1,20,1,7,4,7,7,7,1,7,3,2,4,3,3,2,2,5,5,4,7,6,4,7,4,3,4,7,7,7,4,6,2,4,5,3,5,7,5,6,5,7,7,5,1,4,4,5,3
142,1,5,5,5,18,2,6,4,6,4,5,6,4,5,5,7,3,4,6,6,5,5,5,6,6,4,7,4,5,5,6,6,7,6,6,4,7,6,4,6,3,6,7,6,4,6,6,3,4,4,7,2
143,1,6,1,3,18,2,7,4,6,1,6,4,7,4,3,1,2,2,1,3,4,5,5,7,6,6,7,4,6,7,7,7,7,6,7,4,6,6,5,6,7,7,5,7,7,7,6,3,5,6,4,6
144,2,7,3,6,18,1,6,6,5,3,5,4,3,5,5,3,5,7,4,4,4,4,4,6,5,4,6,5,5,5,7,5,5,5,3,5,5,5,6,6,6,4,6,7,4,6,6,5,4,4,5,3
145,1,4,4,4,18,1,2,6,6,2,7,6,5,5,7,7,2,7,7,7,6,7,6,5,6,6,6,4,7,7,7,7,7,6,7,5,6,6,7,6,6,5,6,6,4,6,7,5,4,6,6,5
146,2,5,6,4,24,1,6,2,5,3,5,5,6,6,7,4,6,6,3,6,4,5,6,6,6,4,7,4,7,2,7,6,5,4,4,3,7,6,6,7,6,5,5,7,6,7,4,6,2,6,3,4
147,2,3,3,4,18,1,7,3,7,6,5,4,2,4,5,3,4,3,4,3,6,5,6,7,6,6,7,5,7,7,7,7,5,7,7,6,6,5,3,6,6,6,4,7,6,7,7,3,5,6,4,6
148,1,9,9,9,18,2,1,3,7,3,7,7,7,6,7,7,5,7,7,7,5,7,7,7,7,3,5,3,7,6,7,7,5,7,7,5,7,7,5,7,5,7,7,1,6,6,6,6,6,7,7,7
149,2,3,7,5,20,2,1,7,6,7,7,6,7,6,6,7,1,2,7,6,4,7,4,6,5,1,7,4,7,7,7,7,6,5,4,2,6,4,5,5,7,4,7,2,6,7,6,5,1,4,6,1
150,1,3,1,1,18,1,7,1,7,7,7,2,1,2,3,2,1,2,1,1,3,1,3,7,5,5,7,5,5,3,7,7,6,5,6,7,2,4,3,6,7,4,2,7,7,7,6,5,6,7,3,3
151,1,8,8,8,19,1,1,6,4,4,3,4,7,3,5,6,4,5,6,4,4,4,5,1,5,6,3,4,5,4,6,5,5,3,2,4,4,5,3,3,3,4,6,3,3,5,4,4,2,3,4,3
152,2,2,1,1,18,2,7,6,5,7,7,5,1,7,6,2,2,5,5,3,5,5,6,7,7,5,7,7,6,6,7,7,6,5,6,6,7,6,5,4,7,5,6,7,7,7,6,3,4,7,4,7
153,1,7,7,6,18,1,7,7,7,7,6,5,3,6,7,6,4,6,7,6,5,7,6,7,7,5,7,4,5,7,7,7,7,5,6,7,7,5,6,7,6,6,7,7,5,7,6,4,6,7,7,7
154,1,5,3,4,19,2,7,2,6,2,5,4,3,6,5,1,4,7,1,1,3,2,4,7,6,3,7,4,5,6,7,5,5,5,7,4,7,7,4,5,7,3,6,7,7,7,7,4,4,7,4,5
155,2,5,5,5,18,2,1,6,6,2,7,5,7,5,6,6,3,4,5,6,4,4,5,2,7,4,7,3,5,6,7,7,5,4,5,7,7,5,4,7,7,6,6,6,4,7,7,3,4,6,5,7
156,1,6,1,5,20,1,7,5,4,1,5,6,4,6,6,2,5,7,1,3,6,3,6,7,6,6,7,5,6,6,7,5,4,6,4,5,7,5,6,5,7,4,7,7,3,6,5,5,3,2,5,6
157,1,2,1,2,18,2,7,7,7,7,7,3,1,1,3,3,1,1,1,1,3,7,1,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,4,7,7,7,7
158,2,6,6,6,18,2,1,7,4,4,4,6,7,4,7,7,4,6,7,7,4,7,5,6,7,4,7,6,5,7,7,6,7,7,7,4,7,6,7,5,4,6,7,7,6,7,5,5,4,5,7,7
159,2,5,5,5,19,2,6,7,6,3,6,5,2,7,7,7,5,7,5,7,7,7,7,7,4,5,7,4,4,7,7,6,7,5,7,5,7,5,6,5,7,2,7,7,4,7,6,6,4,6,7,6
160,2,9,8,8,19,1,1,7,2,1,3,7,7,5,7,7,6,7,7,7,6,7,7,6,7,7,7,5,7,7,6,1,4,7,4,1,7,7,7,7,5,7,7,2,3,4,5,7,1,1,7,1
161,1,9,7,7,21,1,2,7,3,1,4,7,6,7,7,7,6,7,7,7,7,7,6,4,6,7,7,4,5,7,7,1,6,3,4,4,7,6,7,7,5,4,7,1,4,7,6,4,1,1,7,3
162,2,8,8,8,20,2,1,6,3,5,5,6,7,7,7,7,3,4,7,7,4,7,7,6,5,4,7,4,5,7,4,5,5,5,7,3,7,5,7,7,7,5,7,1,4,6,7,4,5,7,5,1
163,2,7,9,9,19,2,1,5,4,4,4,5,7,5,6,5,5,7,6,6,7,6,6,3,5,6,5,4,5,7,6,6,3,6,5,4,6,4,7,6,5,6,7,1,4,5,5,3,1,4,5,4
164,2,5,5,6,22,1,3,5,3,2,7,7,6,7,7,7,4,7,7,6,7,7,6,5,7,2,7,5,7,7,7,7,7,5,4,7,7,7,7,7,2,7,7,7,7,7,7,6,4,4,7,6
165,1,7,7,7,19,2,5,5,5,3,5,6,3,6,7,7,7,7,6,7,5,7,7,6,6,5,7,5,5,6,7,5,7,4,7,4,6,6,7,7,7,6,7,6,5,6,7,5,2,5,6,6
166,2,4,1,2,18,2,6,3,6,3,6,5,4,3,6,4,4,5,6,4,5,4,5,7,6,7,7,4,4,7,7,7,6,6,7,5,7,7,6,5,7,4,7,6,6,7,4,4,2,3,4,5
167,1,8,7,7,21,2,2,5,4,5,3,5,6,5,6,7,5,5,7,7,7,7,7,3,7,6,5,2,6,7,7,5,5,5,7,3,7,5,6,5,7,6,7,5,5,7,7,5,2,3,7,5
168,1,9,9,9,18,2,1,7,4,1,7,7,7,2,7,7,4,7,7,7,7,7,7,7,7,5,7,5,7,7,7,5,7,7,7,4,7,7,7,7,4,6,7,7,7,4,7,6,7,4,7,7
169,1,9,7,9,21,2,2,7,3,6,2,7,7,7,7,7,7,7,7,7,7,7,6,1,7,7,1,1,7,7,2,6,2,7,7,6,7,6,7,7,2,7,7,1,1,2,2,2,1,2,7,1
170,1,8,3,6,21,2,2,3,4,3,5,6,7,7,6,7,6,7,3,6,3,7,6,7,7,4,7,5,6,4,7,6,7,6,7,4,6,6,7,7,7,7,6,7,5,7,5,6,3,4,6,3
171,2,6,5,6,18,2,4,2,5,2,5,6,3,6,6,4,4,6,4,3,6,5,4,7,6,6,7,4,6,4,5,6,5,5,7,5,5,6,5,6,6,6,7,6,4,6,6,5,2,5,3,4
172,2,7,4,6,18,2,4,6,5,1,6,6,5,6,7,4,6,7,5,3,4,6,3,7,7,5,7,4,7,6,7,5,6,4,7,4,7,6,7,6,7,6,7,7,5,7,6,5,2,4,3,4
173,2,6,2,2,18,2,7,6,7,6,6,6,2,4,7,6,4,4,4,5,6,7,5,7,5,1,7,4,7,5,7,7,7,4,6,6,4,4,7,7,7,6,7,7,5,7,5,3,4,5,7,5
174,2,2,1,1,18,2,7,5,5,7,7,3,1,4,5,5,3,2,2,6,4,7,5,7,4,2,7,3,6,6,7,7,7,4,7,5,7,7,6,2,7,3,7,7,5,7,7,4,5,5,7,2
175,1,,,,18,2,2,5,5,4,4,7,7,6,7,5,4,7,6,6,5,7,6,5,6,7,7,5,6,6,7,5,7,6,7,7,7,7,7,7,6,6,7,5,7,7,6,7,3,6,6,7
176,1,7,7,7,19,2,3,6,3,3,3,7,6,4,7,7,2,7,7,7,7,7,6,7,7,1,6,3,5,6,7,7,5,7,4,2,5,7,3,7,6,3,7,7,4,6,7,5,5,4,7,2
177,1,8,6,6,22,1,6,5,3,4,3,5,3,6,7,6,5,6,4,7,6,5,6,6,6,6,6,6,7,6,7,6,6,6,5,3,6,5,7,6,5,6,7,6,6,6,4,5,2,5,7,4
178,1,6,7,5,18,2,7,2,2,7,7,3,1,4,7,7,1,3,7,7,4,7,7,7,3,4,3,6,7,7,7,4,7,5,7,3,4,7,4,7,3,7,7,7,7,7,7,7,4,3,4,3
179,2,6,6,5,,,4,5,6,2,2,6,4,4,7,6,3,7,6,6,4,7,6,4,7,3,7,5,4,7,7,7,7,5,5,3,7,4,7,6,6,7,7,7,5,7,7,5,3,6,7,2
180,1,9,7,7,19,1,4,6,4,6,7,6,7,5,7,7,3,5,7,7,7,7,6,4,6,7,7,3,7,7,7,7,6,7,7,4,6,7,7,7,6,6,7,1,4,7,7,7,4,5,6,4
181,1,3,1,3,21,1,6,4,7,6,6,4,2,4,5,7,2,5,3,4,7,7,6,7,5,3,7,6,5,6,7,7,6,6,6,7,6,5,6,6,7,4,7,7,6,6,6,5,6,6,6,4
182,2,8,7,8,20,2,1,5,4,5,3,7,7,7,7,7,5,4,7,7,6,7,7,2,7,5,7,6,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,4,4,7,4,5,1,4,7,4
183,2,5,5,5,18,2,6,6,5,6,4,5,3,5,5,4,5,4,4,4,4,5,4,5,5,4,5,4,3,4,6,6,5,5,3,4,5,4,5,6,5,3,5,5,5,6,6,4,4,5,4,4
184,1,9,9,9,19,1,5,6,5,4,5,6,4,4,7,7,3,7,5,5,6,6,7,4,6,3,7,4,5,6,6,7,6,5,6,3,7,4,6,6,6,5,7,6,4,7,5,6,5,6,5,4
185,2,5,5,3,18,1,6,3,6,4,7,5,3,4,7,6,2,5,4,4,7,7,6,7,7,5,7,6,7,5,7,7,6,7,7,6,6,7,6,7,7,7,4,7,6,7,4,7,2,6,4,1
186,2,7,4,5,18,2,5,4,5,5,5,5,4,3,6,7,3,2,2,6,5,6,6,4,6,4,7,4,6,4,7,6,5,4,6,6,5,3,5,7,5,4,7,3,5,7,5,3,5,5,6,6
187,1,9,9,9,18,2,1,6,6,1,7,7,7,6,7,7,4,7,7,7,7,7,7,4,5,6,7,5,6,7,6,4,7,4,6,4,7,5,6,7,7,6,7,2,4,7,5,5,2,4,7,1
188,2,8,9,8,21,1,1,6,1,1,2,5,7,7,7,7,6,7,7,6,7,7,4,7,7,7,7,4,7,7,7,7,6,6,4,5,6,6,7,7,7,7,7,3,6,6,4,3,1,1,6,5
